;Unnamed: 0;Ticker;Empresa;Setor;Subsetor;Tipo;Classificação;Name
0;0;AALR3.SA;ALLIAR;Saúde;Análises e Diagnósticos;Ordinaria;Small Cap;Alliança Saúde e Participações S.A.
1;1;ABCB4.SA;ABC BRASIL;Financeiro;Intermediários Financeiros;Preferencial;Small Cap;Banco ABC Brasil S.A.
2;2;ABEV3.SA;AMBEV S/A;Consumo não Cíclico;Bebidas;Ordinaria;Mega Cap;Ambev S.A.
3;3;AFLT3.SA;AFLUENTE T;Utilidade Pública;Utilidade Pública;Ordinaria;Micro Cap;Afluente Transmissão de Energia Elétrica S.A.
4;4;AGRO3.SA;BRASILAGRO;Consumo não Cíclico;Agropecuária;Ordinaria;Small Cap;BrasilAgro - Companhia Brasileira de Propriedades Agrícolas
5;5;AHEB3.SA;SPTURIS;Consumo Cíclico;Viagens e Lazer;Ordinaria;Nano Cap;São Paulo Turismo S.A.
6;6;ALPA3.SA;ALPARGATAS;Consumo Cíclico;Tecidos, Vestuário e Calçados;Ordinaria;Mid Cap;Alpargatas S.A.
7;7;ALPA4.SA;ALPARGATAS;Consumo Cíclico;Tecidos, Vestuário e Calçados;Preferencial;Mid Cap;Alpargatas S.A.
8;8;ALSO3.SA;ALIANSCSONAE;Financeiro;Exploração de Imóveis;Ordinaria;Mid Cap;N/A
9;9;ALUP3.SA;ALUPAR;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;Alupar Investimento S.A.
10;10;ALUP4.SA;ALUPAR;Utilidade Pública;Energia Elétrica;Preferencial;Mid Cap;Alupar Investimento S.A.
11;11;ALUP11.SA;ALUPAR;Utilidade Pública;Energia Elétrica;BDR;Mid Cap;Alupar Investimento S.A.
12;12;AMAR3.SA;LOJAS MARISA;Consumo Cíclico;Comércio;Ordinaria;Small Cap;Marisa Lojas S.A.
13;13;ANIM3.SA;ANIMA;Consumo Cíclico;Diversos;Ordinaria;Small Cap;Ânima Holding S.A.
14;14;APER3.SA;ALPER S.A.;Financeiro;Previdência e Seguros;Ordinaria;Micro Cap;Alper Consultoria e Corretora de Seguros S.A.
15;15;ARZZ3.SA;AREZZO CO;Consumo Cíclico;Comércio;Ordinaria;Mid Cap;Arezzo Indústria e Comércio S.A.
16;16;ATOM3.SA;ATOMPAR;Outros;Outros;Ordinaria;Micro Cap;Atom Empreendimentos e Participações S.A.
17;17;AZEV3.SA;AZEVEDO;Bens Industriais;Construção e Engenharia;Ordinaria;Nano Cap;Azevedo & Travassos S.A.
18;18;AZEV4.SA;AZEVEDO;Bens Industriais;Construção e Engenharia;Preferencial;Nano Cap;Azevedo & Travassos S.A.
19;19;AZUL4.SA;AZUL;Bens Industriais;Transporte;Preferencial;Mid Cap;Azul S.A.
20;20;B3SA3.SA;B3;Financeiro;Serviços Financeiros Diversos;Ordinaria;Big Cap;B3 S.A. - Brasil, Bolsa, Balcão
21;21;BAHI3.SA;BAHEMA;Consumo Cíclico;Diversos;Ordinaria;Nano Cap;Bahema Educação S.A.
22;22;BALM3.SA;BAUMER;Saúde;Equipamentos;Ordinaria;Nano Cap;Baumer S.A.
23;23;BALM4.SA;BAUMER;Saúde;Equipamentos;Preferencial;Nano Cap;Baumer S.A.
24;24;BAUH3.SA;EXCELSIOR;Consumo não Cíclico;Alimentos Processados;Ordinaria;Micro Cap;Excelsior Alimentos SA
25;25;BAUH4.SA;EXCELSIOR;Consumo não Cíclico;Alimentos Processados;Preferencial;Micro Cap;Excelsior Alimentos S.A.
26;26;BAZA3.SA;AMAZONIA;Financeiro;Intermediários Financeiros;Ordinaria;Small Cap;Banco da Amazônia S.A.
27;27;BBAS3.SA;BRASIL;Financeiro;Intermediários Financeiros;Ordinaria;Big Cap;Banco do Brasil S.A.
28;28;BBDC3.SA;BRADESCO;Financeiro;Intermediários Financeiros;Ordinaria;Mega Cap;Banco Bradesco S.A.
29;29;BBDC4.SA;BRADESCO;Financeiro;Intermediários Financeiros;Preferencial;Mega Cap;Banco Bradesco S.A.
30;30;BBRK3.SA;BR BROKERS;Financeiro;Exploração de Imóveis;Ordinaria;Nano Cap;N/A
31;31;BBSE3.SA;BBSEGURIDADE;Financeiro;Previdência e Seguros;Ordinaria;Big Cap;BB Seguridade Participações S.A.
32;32;BDLL3.SA;BARDELLA;Bens Industriais;Máquinas e Equipamentos;Ordinaria;Nano Cap;Bardella S.A. Indústrias Mecânicas
33;33;BDLL4.SA;BARDELLA;Bens Industriais;Máquinas e Equipamentos;Preferencial;Nano Cap;Bardella S.A. Indústrias Mecânicas
34;34;BEEF3.SA;MINERVA;Consumo não Cíclico;Alimentos Processados;Ordinaria;Mid Cap;Minerva S.A.
35;35;BEES3.SA;BANESTES;Financeiro;Intermediários Financeiros;Ordinaria;Small Cap;Banestes S.A - Banco do Estado do Espírito Santo
36;36;BEES4.SA;BANESTES;Financeiro;Intermediários Financeiros;Preferencial;Small Cap;Banestes S.A - Banco do Estado do Espírito Santo
37;37;BGIP3.SA;BANESE;Financeiro;Intermediários Financeiros;Ordinaria;Micro Cap;Banco do Estado de Sergipe S.A.
38;38;BGIP4.SA;BANESE;Financeiro;Intermediários Financeiros;Preferencial;Micro Cap;Banco do Estado de Sergipe S.A.
39;39;BIDI4.SA;BANCO INTER;Financeiro;Intermediários Financeiros;Preferencial;Big Cap;N/A
40;40;BIOM3.SA;BIOMM;Saúde;Medicamentos e Outros Produtos;Ordinaria;Small Cap;Biomm S.A.
41;41;BKBR3.SA;BK BRASIL;Consumo Cíclico;Hoteis e Restaurantes;Ordinaria;Small Cap;N/A
42;42;BMEB3.SA;MERC BRASIL;Financeiro;Intermediários Financeiros;Ordinaria;Micro Cap;Banco Mercantil do Brasil S.A.
43;43;BMEB4.SA;MERC BRASIL;Financeiro;Intermediários Financeiros;Preferencial;Micro Cap;Banco Mercantil do Brasil S.A.
44;44;BMIN3.SA;MERC INVEST;Financeiro;Intermediários Financeiros;Ordinaria;Nano Cap;Banco Mercantil de Investimentos S.A.
45;45;BMIN4.SA;MERC INVEST;Financeiro;Intermediários Financeiros;Preferencial;Nano Cap;Banco Mercantil de Investimentos S.A.
46;46;BMKS3.SA;BIC MONARK;Consumo Cíclico;Viagens e Lazer;Ordinaria;Nano Cap;Bicicletas Monark S.A.
47;47;BNBR3.SA;NORD BRASIL;Financeiro;Intermediários Financeiros;Ordinaria;Mid Cap;Banco do Nordeste do Brasil S.A.
48;48;BOBR4.SA;BOMBRIL;Consumo não Cíclico;Produtos de Uso Pessoal e de Limpeza;Preferencial;Micro Cap;Bombril S.A.
49;49;BPAC3.SA;BTGP BANCO;Financeiro;Intermediários Financeiros;Ordinaria;Big Cap;Banco BTG Pactual S.A.
50;50;BPAC11.SA;BTGP BANCO;Financeiro;Intermediários Financeiros;BDR;Big Cap;Banco BTG Pactual S.A.
51;51;BPAN4.SA;BANCO PAN;Financeiro;Intermediários Financeiros;Preferencial;Mid Cap;Banco Pan S.A.
52;52;BPHA3.SA;BR PHARMA;Saúde;Comércio e Distribuição;Ordinaria;Nano Cap;Brasil Pharma S.A.
53;53;BRAP3.SA;BRADESPAR;Materiais Básicos;Mineração;Ordinaria;Mid Cap;Bradespar S.A.
54;54;BRAP4.SA;BRADESPAR;Materiais Básicos;Mineração;Preferencial;Mid Cap;Bradespar S.A.
55;55;BRDT3.SA;PETROBRAS BR;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Ordinaria;Big Cap;N/A
56;56;BRFS3.SA;BRF SA;Consumo não Cíclico;Alimentos Processados;Ordinaria;Mid Cap;BRF S.A.
57;57;BRGE3.SA;ALFA CONSORC;Financeiro;Previdência e Seguros;Ordinaria;Micro Cap;Consórcio Alfa de Administração S.A.
58;58;BRGE12.SA;ALFA CONSORC;Financeiro;Previdência e Seguros;Preferencial;Micro Cap;Consórcio Alfa de Administração S.A.
59;59;BRGE11.SA;ALFA CONSORC;Financeiro;Previdência e Seguros;BDR;Micro Cap;Consórcio Alfa de Administração S.A.
60;60;BRIV3.SA;ALFA INVEST;Financeiro;Intermediários Financeiros;Ordinaria;Micro Cap;Banco Alfa de Investimento S.A.
61;61;BRIV4.SA;ALFA INVEST;Financeiro;Intermediários Financeiros;Preferencial;Micro Cap;Banco Alfa de Investimento S.A.
62;62;BRKM3.SA;BRASKEM;Materiais Básicos;Químicos;Ordinaria;Big Cap;Braskem S.A.
63;63;BRML3.SA;BR MALLS PAR;Financeiro;Exploração de Imóveis;Ordinaria;Mid Cap;N/A
64;64;BRPR3.SA;BR PROPERT;Financeiro;Exploração de Imóveis;Ordinaria;Small Cap;BR Properties S.A.
65;65;BRSR3.SA;BANRISUL;Financeiro;Intermediários Financeiros;Ordinaria;Mid Cap;Banco do Estado do Rio Grande do Sul S.A.
66;66;BSEV3.SA;BIOSEV;Consumo não Cíclico;Alimentos Processados;Ordinaria;Mid Cap;N/A
67;67;BSLI3.SA;BRB BANCO;Financeiro;Intermediários Financeiros;Ordinaria;Mid Cap;BRB - Banco de Brasília S.A.
68;68;BSLI4.SA;BRB BANCO;Financeiro;Intermediários Financeiros;Preferencial;Mid Cap;BRB - Banco de Brasília S.A.
69;69;BTOW3.SA;B2W DIGITAL;Consumo Cíclico;Comércio;Ordinaria;Big Cap;N/A
70;70;BTTL3.SA;BATTISTELLA;Bens Industriais;Comércio;Ordinaria;Nano Cap;N/A
71;71;CALI3.SA;CONST A LIND;Consumo Cíclico;Construção Civil;Ordinaria;Nano Cap;Construtora Adolpho Lindenberg S.A.
72;72;CALI4.SA;CONST A LIND;Consumo Cíclico;Construção Civil;Preferencial;Nano Cap;N/A
73;73;CAML3.SA;CAMIL;Consumo não Cíclico;Alimentos Processados;Ordinaria;Small Cap;Camil Alimentos S.A.
74;74;CARD3.SA;CSU CARDSYST;Bens Industriais;Serviços Diversos;Ordinaria;Micro Cap;N/A
75;75;CASN3.SA;CASAN;Utilidade Pública;Água e Saneamento;Ordinaria;Mid Cap;Companhia Catarinense de Águas e Saneamento - CASAN
76;76;CASN4.SA;CASAN;Utilidade Pública;Água e Saneamento;Preferencial;Mid Cap;Companhia Catarinense de Águas e Saneamento - CASAN
77;77;CBEE3.SA;AMPLA ENERG;Utilidade Pública;Energia Elétrica;Ordinaria;Small Cap;Ampla Energia e Serviços S.A.
78;78;CCPR3.SA;CYRE COM-CCP;Financeiro;Exploração de Imóveis;Ordinaria;Small Cap;N/A
79;79;CCRO3.SA;CCR SA;Bens Industriais;Transporte;Ordinaria;Big Cap;CCR S.A.
80;80;CEBR3.SA;CEB;Utilidade Pública;Energia Elétrica;Ordinaria;Small Cap;Companhia Energética de Brasília - CEB
81;81;CEDO3.SA;CEDRO;Consumo Cíclico;Tecidos, Vestuário e Calçados;Ordinaria;Nano Cap;Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.
82;82;CEDO4.SA;CEDRO;Consumo Cíclico;Tecidos, Vestuário e Calçados;Preferencial;Nano Cap;Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.
83;83;CEEB3.SA;COELBA;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;Companhia de Eletricidade do Estado da Bahia - COELBA
84;84;CEED3.SA;CEEE-D;Utilidade Pública;Energia Elétrica;Ordinaria;Micro Cap;Companhia Estadual de Distribuição de Energia Elétrica
85;85;CEED4.SA;CEEE-D;Utilidade Pública;Energia Elétrica;Preferencial;Micro Cap;Companhia Estadual de Distribuição de Energia Elétrica
86;86;CEGR3.SA;CEG;Utilidade Pública;Gás;Ordinaria;Mid Cap;Companhia Distribuidora de Gás do Rio de Janeiro - CEG
87;87;CEPE3.SA;CELPE;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;N/A
88;88;CESP3.SA;CESP;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;N/A
